pl_name,pl_rade,pl_eqt,pl_insol,st_teff,st_rad,sy_dist
TOI-4145 A b,13.30506009,1074.0,223.0,5281.0,0.859,205.387
Kepler-1986 b,1.89,579.0,26.62,5549.0,0.732,912.085
HD 23472 f,1.137,630.0,26.3,4684.0,0.71,39.0341
NGTS-5 b,12.733424,952.0,,4987.0,0.739,306.779
Kepler-409 b,1.199,438.0,6.15,5421.0,0.897,68.173
TOI-5817 b,3.08,950.0,,5770.0,1.427,80.7542
NGTS-23 b,14.20177855,1327.0,,6057.0,1.24,1074.95
TOI-1453 c,2.224,819.8,75.3,4975.0,0.72,78.7415
HATS-58 A b,12.273855,1721.0,,7175.0,1.433,403.591
TOI-2524 b,11.2089807,1100.0,,5831.0,1.119,438.842
K2-347 b,2.41,640.0,,4599.0,0.63,320.336
TOI-1670 b,2.06,1062.0,,6170.0,1.316,168.067
EPIC 229004835 b,2.332,804.0,69.7,5868.0,0.999,121.971
HIP 65426 b,16.8135,1500.0,,8840.0,1.77,108.875
Kepler-431 d,1.11,856.0,,6004.0,1.092,486.546
HD 260655 b,1.24,709.0,42.2,3803.0,0.439,10.0055
Kepler-896 c,3.15,515.0,16.56,5510.0,0.803,2334.93
K2-278 b,2.98,1711.0,,6747.0,1.61,786.439
WASP-141 b,13.56289,1540.0,,5900.0,1.37,516.543
TIC 434398831 c,5.63,1050.0,,5638.0,0.909,217.011
TIC 88785435 b,5.03,635.0,,3998.0,0.911,122.386
Kepler-428 b,12.11,1070.0,,5150.0,0.8,686.284
HATS-43 b,13.22662,1003.0,,5099.0,0.812,362.273
Kepler-68 b,2.357,1275.0,441.0,5847.0,1.2564,144.166
TOI-5076 b,3.48935569,550.0,,4780.0,0.844,82.857
K2-354 b,1.56,543.0,,3669.0,0.41,91.722
K2-295 b,10.054473,852.0,,4444.0,0.7,232.801
EPIC 201595106 b,1.565,2038.0,2852.0,5679.0,0.98,232.1
Kepler-9 d,1.64,2026.0,,5777.0,1.02,628.257
WASP-44 b,12.3299,1337.0,533.0,5420.0,0.906,364.512
TOI-1298 b,9.65807033,1278.0,,5752.0,1.4536,319.036
TOI-7149 b,13.2,593.0,20.6,3363.0,0.351,126.126
TOI-1694 b,5.3422266,943.19,,5058.0,0.8036,124.68
HD 332231 b,9.07303305,798.3,,6128.0,1.266,80.6665
HD 136352 b,1.664,905.0,111.6,5664.0,1.058,14.682
Kepler-2001 b,1.04,1402.0,911.28,5081.0,0.77,776.55
HAT-P-64 b,19.08889413,1766.0,1611.0,6457.0,1.735,651.897
WASP-180 A b,13.89916,1540.0,,6600.0,1.19,253.985
Kepler-75 b,11.77,767.0,,5200.0,0.89,835.356
TOI-2076 b,2.39,738.0,49.4,5201.0,0.774,41.9091
TOI-1246 e,3.5141875,463.98,,5213.0,0.8649,169.422
Kepler-41 b,14.46,1790.0,,5750.0,1.29,1093.08
HD 110067 f,2.601,489.0,,5266.0,0.788,32.1585
TOI-561 b,1.397,2319.0,4709.0,,0.843,85.799
K2-7 b,4.03523305,786.0,,5700.0,1.533,738.553
TOI-663 d,1.92,482.0,12.9,3681.0,0.512,64.2308
Kepler-20 b,1.773,1187.0,331.0,5495.0,0.9164,282.563
K2-254 c,2.19,551.0,,4629.0,0.67,227.775
Kepler-433 b,16.25,1776.0,,6360.0,2.26,1878.31
Kepler-1977 b,1.66,798.0,95.61,4805.0,0.688,592.711
V1298 Tau b,10.27,677.0,35.0,,1.345,108.199
Kepler-44 b,12.22,1544.0,,5800.0,1.35,1188.0
TOI-1410.01,3.10083009,1236.7,,4635.0,0.7558,72.7512
TOI-4734 b,10.9175472,1468.0,775.0,6070.0,1.857,563.068
TOI-1248 b,6.8084859,952.09,,5205.0,0.8686,168.735
K2-333 b,6.18,826.0,,5880.0,1.22,343.99
KELT-20 b,19.514869,2262.0,4362.5,8720.0,1.565,136.426
Kepler-784 c,1.55,844.0,119.87,5676.0,1.487,1303.72
TOI-3837 b,10.87271128,1178.0,,5905.0,1.2,311.705
TOI-6054.02,2.82,1143.0,285.0,6047.0,1.662,79.407
Qatar-8 b,14.403565,1457.0,,5738.0,1.315,281.498
WASP-91 b,11.54527,1160.0,,4920.0,0.86,149.942
K2-415 b,1.015,412.4,4.82,3173.0,0.1965,21.8182
Kepler-1982 b,0.77,1282.0,638.38,6202.0,1.122,558.855
TOI-3757 b,12.0,759.0,55.4,3913.0,0.62,181.139
K2-237 b,16.06246934,1759.0,,6180.0,1.236,314.995
K2-339 b,1.92,508.0,,4857.0,0.72,360.36
Qatar-7 b,19.0553,2053.0,,6387.0,1.564,705.981
TIC 257060897 b,17.26183028,1775.0,,5993.0,1.863,505.703
TOI-4406 b,11.2089807,904.0,,6219.0,1.29,261.834
WASP-147 b,12.498035,1404.0,,5702.0,1.429,436.098
WASP-197 b,14.44837612,1665.0,1276.0,6050.0,2.112,483.675
TOI-836 b,1.704,871.0,78.838,4552.0,0.665,27.5024
CoRoT-25 b,12.11,1330.0,,6040.0,1.19,1103.48
TOI-2449 b,11.24,400.0,,6021.0,1.065,156.786
HAT-P-55 b,14.84069045,1367.0,583.0,5804.0,1.105,511.388
WASP-5 b,12.184,1706.0,,5700.0,1.029,309.137
HATS-59 b,12.621334,1128.0,269.0,5670.0,1.036,642.884
TOI-871 b,1.664,621.0,24.78,4929.0,0.719,68.0473
HATS-15 b,12.385945,1505.0,,5311.0,0.922,1139.55
HD 35843 c,2.54,479.0,,5666.0,0.897,69.6026
K2-261 b,9.26982704,1036.0,,5490.0,1.663,213.283
TOI-2407 b,4.26,705.0,41.0,3530.0,0.567,92.4366
Kepler-1997 b,2.28,660.0,44.86,6215.0,1.052,1502.34
Kepler-297 d,32.6,325.0,2.62,5618.0,0.897,692.14
WASP-172 b,17.59813,1740.0,,6900.0,1.91,538.11
EPIC 212587672 b,1.26,756.0,,6004.0,0.98,320.07
Kepler-1981 b,9.23,390.0,5.45,5874.0,3.006,659.395
TOI-125 c,2.759,827.8,77.59,5320.0,0.848,111.059
Kepler-10 c,2.355,579.0,,5708.0,1.065,185.506
TOI-2084 b,2.47,527.0,12.8,3551.0,0.475,114.549
TOI-1347 c,1.6,1000.0,,5464.0,0.83,147.476
K2-272 b,3.13,747.0,,5397.0,0.83,423.065
TOI-2969 b,12.32987877,1186.0,382.0,4738.0,0.7,163.996
TOI-3353.01,2.6667555,1264.36,313.0426,6365.0,1.0207,78.7577
